track_name,track_pop,artist,artist_pop,album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,artist_name,total_likes_count,number_of_videos,chroma_stft,rmse,spec_cent,spec_bw,rolloff,zcr,mfcc
Love You So,0,The King Khan & BBQ Show,37,The King Khan & BBQ Show,0.389,0.896,5.0,-2.622,1.0,0.0599,0.79,0.00436,0.501,0.653,115.143,4msYRkezQgynuZNubvVbHk,225240.0,4.0,The King Khan & BBQ Show,4187998484,33542864,0.3884282410144806,0.3695744574069977,1779.3005026779242,2122.677625724739,3513.8037525094333,0.0724230314555921,4.113480567932129
Spongebob Tomfoolery - Dante9k Remix,33,David Snell,12,Spongebob Tomfoolery (Dante9k Remix),0.831,0.445,0.0,-14.492,1.0,0.193,0.0257,0.908,0.113,0.508,125.015,5RUBtOzrUcM0tIRozgRtzA,151680.0,4.0,David Snell,1590913470,6200000,0.38229280710220337,0.09256931394338608,1806.4361451351767,1806.596658613667,3317.142441693474,0.09449564930824303,-6.783767223358154
SugarCrash!,74,ElyOtto,53,SugarCrash!,0.748,0.734,0.0,-6.499,1.0,0.124,0.524,1.15e-05,0.0975,0.368,97.753,2ePtv8MlBO9nuuXABqAfEX,80081.0,4.0,ElyOtto,1548567686,4700000,0.3273880183696747,0.2198326587677002,2007.4642029677916,2036.4496829542404,4031.813120177656,0.08863816394156347,-3.2996795177459717
Home,75,Edith Whiskers,59,Home,0.725,0.199,2.0,-12.478,1.0,0.0357,0.982,0.00395,0.1,0.264,120.031,2qPSa6HXjzwa9sLhNGpA1T,195359.0,4.0,Tom Rosenthal,1536455117,1700000,0.2985917925834656,0.12246546149253845,1008.6154917194627,1264.500640347106,1781.318395278033,0.04695247496613777,-5.54987096786499
Blue Blood,7,Orchestra Heinz Kiessling,13,High Society,0.678,0.508,0.0,-13.403,1.0,0.0319,0.748,0.866,0.0787,0.846,145.346,2VXzu84b4TgywH3Mc23PfL,173835.0,4.0,Heinz Kiessling,1392234379,1100000,0.3678542375564575,0.09212862700223923,1663.1504221702753,2126.9970195398014,3627.169733667521,0.056462999467879256,-0.8972653746604919
Steven Universe,61,L.Dre,50,Steven Universe,0.676,0.0674,7.0,-13.899,1.0,0.0703,0.841,0.942,0.121,0.214,77.037,7zkA4TSmYO1Bko2PnFn0YB,134026.0,4.0,L.Dre,1385596320,9600000,0.339051216840744,0.15384544432163239,615.3390651896856,818.7741980561445,967.7483148250049,0.03174035984665248,-6.747069835662842
被遗忘的故事,42,Nene郑乃馨,41,与世界温柔相处,0.583,0.721,7.0,-4.278,1.0,0.0682,0.275,0.0,0.0787,0.205,172.07,0GsNpcNsQ0HOR7gQN9aKaO,184694.0,4.0,yugure / 夕依,1333192432,11242864,0.39239633083343506,0.13146701455116272,2173.988654083368,2554.1132604021973,5068.161020190354,0.07362219276073917,1.271867275238037
Blade Runner 2049,55,Synthwave Goose,35,Blade Runner 2049,0.573,0.458,0.0,-16.739,0.0,0.0369,0.896,0.902,0.125,0.0364,116.029,3Bj2mrlp3tALHO5U3mK8zM,228020.0,4.0,Synthwave Goose,1291893490,1300000,0.4007084369659424,0.27501755952835083,707.6513874845912,1019.6342452475931,1281.329751974289,0.029357154302921826,1.0842196941375732
Beggin',16,Måneskin,78,O Melhor do Pop Internacional,0.714,0.8,11.0,-4.809,0.0,0.0504,0.129,0.0,0.359,0.589,134.0,4HY4ARVkWGBGFv6bmwW7pt,211560.0,4.0,Måneskin,1184408788,8000000,0.3417620360851288,0.24648919701576233,2242.3006296944263,2281.640787737834,4557.301609287321,0.09228440039667182,-2.4209678173065186
Pieces,50,Danilo Stankovic,42,Pieces,0.391,0.191,2.0,-19.27,1.0,0.0382,0.995,0.913,0.117,0.352,81.662,0MCdZnS4srzHUHWcV7pHNK,85911.0,4.0,Danilo Stankovic Music,1135958799,4500000,0.22117134928703308,0.14220954477787018,700.1862701366696,573.5326819371417,1082.3476218586736,0.05273154055001935,-9.297961235046387
MONEY,82,LISA,77,LALISA,0.831,0.554,1.0,-9.998,0.0,0.218,0.161,6.12e-05,0.152,0.396,140.026,7hU3IHwjX150XLoTVmjD0q,168228.0,4.0,리사 (LISA),1051357105,4166632,0.37368372082710266,0.13501857221126556,3110.290364186467,2444.946912682304,5810.060700691152,0.17306887033184984,-5.942922115325928
