track_name,track_pop,artist,artist_pop,album,length,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,song_name,artist_name,total_likes_count,number_of_videos,number_of_videos_last_14days
Laxed – Siren Beat,54,Jawsh 685,59,Laxed (Siren Beat),201990,0.736,0.62,0.0,-8.481,0.0,0.11,0.0577,0.692,0.318,0.959,150.026,3BJiF37kmX4HCfYSO7qBnQ,201990.0,4.0,Jawsh 685 - Laxed (Siren Beat) (Official Video),Jawsh 685,885808966,34700000,-57142
Love You So,0,The King Khan & BBQ Show,37,The King Khan & BBQ Show,225240,0.389,0.896,5.0,-2.622,1.0,0.0599,0.79,0.00436,0.501,0.653,115.143,4msYRkezQgynuZNubvVbHk,225240.0,4.0,The King Khan & BBQ Show – Love You So (Official Video),The King Khan & BBQ Show,4187998484,33542864,-242852
Monkeys Spinning Monkeys,0,Kevin MacLeod,51,Music to Delight,125074,0.929,0.203,7.0,-18.004,1.0,0.146,0.901,0.803,0.11,0.91,144.053,1VsTvfmPwrJxIP5idldxX7,125074.0,4.0,Monkeys Spinning Monkeys,Good Morning Kevin & Kevin MacLeod,4192996304,30200000,0
Banana (feat. Shaggy) - DJ FLe - Minisiren Remix,65,Conkarah,49,Banana (feat. Shaggy) [DJ FLe - Minisiren Remix],210328,0.824,0.854,8.0,-5.312,1.0,0.177,0.016,4.95e-05,0.117,0.896,95.114,0dZpw3h6KZhcHec61qwevZ,210329.0,4.0,Banana (feat. Shaggy) [DJ FLe - Minisiren Remix] Official Music Video | Conkarah,DiRealShaggy & Conkarah,893439815,22700000,-42856
Oh No,53,Kreepa,34,Cold As Ice,166504,0.541,0.527,11.0,-7.438,0.0,0.147,0.00279,0.000509,0.286,0.429,176.123,4qBMiRsJjtm1WR4KyAQqrX,166504.0,4.0,Kreepa Oh No (Official Music Video) prod by Simes Carter,Kreepa,2456202034,18800000,0
Дикая львица,50,ALEX&RUS,42,Дикая львица,164769,0.514,0.843,9.0,-4.98,0.0,0.303,0.363,0.0038,0.13,0.693,194.39,41btOpCqdHf5lBd4KAOcfB,164769.0,3.0,ALEX & RUS – Дикая львица (Official Video 2019),ALEX&RUS,354928101,18128568,271426
Lottery (Renegade),41,K CAMP,58,Lottery (Renegade),170946,0.915,0.556,1.0,-8.601,1.0,0.216,0.0145,0.000179,0.0733,0.67,148.964,3u7YzRbwhYn0V2XTeHxgBR,170947.0,4.0,K Camp - Lottery (Renegade) (Official Video),K Camp,682658373,14842864,-157136
If We Ever Broke Up,40,Mae Stephens,65,If We Ever Broke Up (Sped Up),142758,0.898,0.746,7.0,-4.0,1.0,0.0433,0.606,5.97e-06,0.0917,0.951,115.943,1zzj42DqJEowqU60ZkMbXw,142759.0,4.0,Mae Stephens - If We Ever Broke Up (Official Video),Mae Stephens,284473144,14142864,1242864
Adderall (Corvette Corvette) - Remix,55,Popp Hunna,41,Adderall (Corvette Corvette) [Remix],176382,0.921,0.718,4.0,-3.545,0.0,0.299,0.217,0.0,0.189,0.677,141.06,2Y3USTCETS4xbjJOzT1Icm,176383.0,4.0,"Popp Hunna Feat. Lil Uzi Vert ""Adderall (Corvette Corvette) Remix"" [Official Video]",Popphunna,503731341,13200000,-28570
たぶん,72,YOASOBI,76,THE BOOK,256773,0.748,0.661,5.0,-6.702,1.0,0.0334,0.157,0.00102,0.101,0.743,90.003,398dL22bDbKbAmiOnPaq7o,256773.0,4.0,YOASOBI「たぶん」Official Music  Video,YOASOBI,362184691,12500000,0
