track_name,track_pop,artist,artist_pop,album,length,track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,rank,song_name,artist_name,total_likes_count,number_of_videos,number_of_videos_last_14days,youtube_platform_id,spotify_platform_id,tiktok_platform_id,itunes_platform_id,itunes_album_platform_id,song_guid
God We Need You Now,55,Struggle Jennings,60,God We Need You Now,328888,spotify:track:0tUiCSYWTl5r2NtcK6I6QO,0.621,0.728,6,-7.231,0,0.0905,0.12,0.0,0.111,0.15,80.96,audio_features,0tUiCSYWTl5r2NtcK6I6QO,spotify:track:0tUiCSYWTl5r2NtcK6I6QO,https://api.spotify.com/v1/tracks/0tUiCSYWTl5r2NtcK6I6QO,https://api.spotify.com/v1/audio-analysis/0tUiCSYWTl5r2NtcK6I6QO,328889,4,5201,"Struggle Jennings & Caitlynne Curtis // ""God We Need You Now"" (Official Music Video)",Struggle Jennings,27663537,169000,1000,qYJBxlpfgxo,0tUiCSYWTl5r2NtcK6I6QO,6938536831910676482,1558183168,1558183166,dsB3ws4MYOMq
Di Persimpangan Dilema (Jay Stefan Remix),7,Terry,41,Di Persimpangan Dilema (Jay Stefan Remix),319920,spotify:track:7GwCOKaojMe2rQgAbLsTbs,0.841,0.822,1,-7.373,1,0.0379,0.0135,0.00109,0.313,0.968,133.993,audio_features,7GwCOKaojMe2rQgAbLsTbs,spotify:track:7GwCOKaojMe2rQgAbLsTbs,https://api.spotify.com/v1/tracks/7GwCOKaojMe2rQgAbLsTbs,https://api.spotify.com/v1/audio-analysis/7GwCOKaojMe2rQgAbLsTbs,319921,4,5203,Terry - Di Persimpangan Dilema (Official Music Video),Terry,9141353,168900,1300,5fVUW3WMcJQ,7GwCOKaojMe2rQgAbLsTbs,6477441208590928653,,,JmWeYneOqQn5
Callaita,79,Bad Bunny,95,Callaita,250533,spotify:track:2TH65lNHgvLxCKXM3apjxI,0.61,0.624,2,-4.773,1,0.309,0.6,2.12e-06,0.243,0.244,176.169,audio_features,2TH65lNHgvLxCKXM3apjxI,spotify:track:2TH65lNHgvLxCKXM3apjxI,https://api.spotify.com/v1/tracks/2TH65lNHgvLxCKXM3apjxI,https://api.spotify.com/v1/audio-analysis/2TH65lNHgvLxCKXM3apjxI,250534,4,5204,BAD BUNNY - CALLAÍTA (Video Oficial),Bad Bunny & Tainy,7663113,168900,-63,acEOASYioGY,2TH65lNHgvLxCKXM3apjxI,6696161844211485445,1622046245,1622045624,75VXV1wzXKE1
16 Shots,0,Stefflon Don,64,Real Ting Mixtape,224727,spotify:track:70t0381RsfUbBCXP9lXovo,0.684,0.79,3,-4.871,0,0.0735,0.0271,0.000371,0.0854,0.549,95.083,audio_features,70t0381RsfUbBCXP9lXovo,spotify:track:70t0381RsfUbBCXP9lXovo,https://api.spotify.com/v1/tracks/70t0381RsfUbBCXP9lXovo,https://api.spotify.com/v1/audio-analysis/70t0381RsfUbBCXP9lXovo,224728,4,5205,Stefflon Don - 16 Shots (Official Video),DON,22033638,168900,-200,m5TIDDx57-0,70t0381RsfUbBCXP9lXovo,248929812101189632,1445290203,1445290201,MvuYBWYCEoiv
Hurts So Good,72,Astrid S,64,Astrid S,208728,spotify:track:46ydq5g3k17iLJs3qMDvO6,0.675,0.609,7,-5.027,0,0.0586,0.084,0.0,0.0957,0.378,120.039,audio_features,46ydq5g3k17iLJs3qMDvO6,spotify:track:46ydq5g3k17iLJs3qMDvO6,https://api.spotify.com/v1/tracks/46ydq5g3k17iLJs3qMDvO6,https://api.spotify.com/v1/audio-analysis/46ydq5g3k17iLJs3qMDvO6,208729,4,5208,Astrid S - Hurts So Good,ASTRID S,49746150,168600,5120,4fqwVBuunxY,46ydq5g3k17iLJs3qMDvO6,6827369092626941953,1445301219,1445301098,EBq2yhYjzrx7
Pressure,0,Yungster Jack,3,Pressure,135732,spotify:track:5ROOB1w1JX6EE35Okui9YO,0.75,0.427,1,-9.395,1,0.33,0.03,0.0,0.106,0.772,85.021,audio_features,5ROOB1w1JX6EE35Okui9YO,spotify:track:5ROOB1w1JX6EE35Okui9YO,https://api.spotify.com/v1/tracks/5ROOB1w1JX6EE35Okui9YO,https://api.spotify.com/v1/audio-analysis/5ROOB1w1JX6EE35Okui9YO,135732,4,5210,Yungster Jack - Pressure (Lyrics),wound,56380684,168580,-883,vELFI6ReHbg,5ROOB1w1JX6EE35Okui9YO,6795170758051121926,,,k3dIAykrzIJs
Mala Mía,69,Maluma,82,Mala Mía,183752,spotify:track:62o8KoI44JfN7aYxgTnPvh,0.749,0.752,6,-4.883,1,0.345,0.31,0.0,0.232,0.901,180.049,audio_features,62o8KoI44JfN7aYxgTnPvh,spotify:track:62o8KoI44JfN7aYxgTnPvh,https://api.spotify.com/v1/tracks/62o8KoI44JfN7aYxgTnPvh,https://api.spotify.com/v1/audio-analysis/62o8KoI44JfN7aYxgTnPvh,183753,4,5211,Maluma - Mala Mía (Official Video),Juan Luis,4355698,168500,4400,Q527XDLEpfU,62o8KoI44JfN7aYxgTnPvh,6590012267352296194,1423352367,1423352361,OPrwtS0pkVv6
Волки,43,Руслан Добрый,34,Волки,181530,spotify:track:1nBddWzOspQMeIF9URE5JA,0.895,0.8,10,-5.42,0,0.181,0.435,0.0101,0.0861,0.582,97.99,audio_features,1nBddWzOspQMeIF9URE5JA,spotify:track:1nBddWzOspQMeIF9URE5JA,https://api.spotify.com/v1/tracks/1nBddWzOspQMeIF9URE5JA,https://api.spotify.com/v1/audio-analysis/1nBddWzOspQMeIF9URE5JA,181531,4,5212,🐺 Волки - Tural Everest & Руслан Добрый | НОВЫЙ КЛИП,Руслан Добрый & Tural Everest,6890970,168500,800,-F37Jp0WMyk,1nBddWzOspQMeIF9URE5JA,7015546933784430594,1589902312,1589902304,fjqNoUJ4ofwa
ส่งซิก (ONE DAY),0,บุ๊ค ศุภกาญจน์,35,ส่งซิก (ONE DAY),287454,spotify:track:4AyjHbHJtFchYKkOm9WGfi,0.702,0.77,7,-6.615,1,0.0298,0.0206,0.0,0.382,0.57,110.011,audio_features,4AyjHbHJtFchYKkOm9WGfi,spotify:track:4AyjHbHJtFchYKkOm9WGfi,https://api.spotify.com/v1/tracks/4AyjHbHJtFchYKkOm9WGfi,https://api.spotify.com/v1/audio-analysis/4AyjHbHJtFchYKkOm9WGfi,287455,4,5213,ส่งซิก (ONE DAY) - บุ๊ค ศุภกาญจน์ [OFFICIAL MV],บุ๊ค ศุภกาญจน์,4830507,168400,3500,yX5h_UM6RI8,4AyjHbHJtFchYKkOm9WGfi,6967017205821245441,1569609976,1569609973,iMeuh6k58B8q
Murder On My Mind,0,YNW Melly,74,Murder On My Mind,267794,spotify:track:3bgBu7FeF4YS3o7fTn19vF,0.764,0.777,0,-6.787,0,0.0447,0.15,2.92e-06,0.118,0.663,115.025,audio_features,3bgBu7FeF4YS3o7fTn19vF,spotify:track:3bgBu7FeF4YS3o7fTn19vF,https://api.spotify.com/v1/tracks/3bgBu7FeF4YS3o7fTn19vF,https://api.spotify.com/v1/audio-analysis/3bgBu7FeF4YS3o7fTn19vF,267794,4,5214,YNW Melly - Murder On My Mind [Official Video],YNW Melly,29285884,168400,1100,hqDinxaPUK4,3bgBu7FeF4YS3o7fTn19vF,6705001973202028545,1419601421,1419601184,IIPt6oah7bnO
Rabba Lakh Lakh Shukar Manaawa,16,Nusrat Fateh Ali Khan,65,Shan-E-Kudrat Ilham,856000,spotify:track:5wKaIFvQtWmk1K71bAMZVN,0.446,0.917,1,-3.205,0,0.156,0.403,0.0,0.816,0.772,110.845,audio_features,5wKaIFvQtWmk1K71bAMZVN,spotify:track:5wKaIFvQtWmk1K71bAMZVN,https://api.spotify.com/v1/tracks/5wKaIFvQtWmk1K71bAMZVN,https://api.spotify.com/v1/audio-analysis/5wKaIFvQtWmk1K71bAMZVN,856000,4,5215,Rabba Lakh Lakh Shukar Manaawa - Nusrat Fateh Ali Khan | Official Audio Song,Nusrat Fateh Ali Khan,4048049,168400,373,d_xrr0Nmdkg,5wKaIFvQtWmk1K71bAMZVN,6716340258914437121,,,S0RYxd9W4m1b
Menina Debochada - Remix Pisadinha,47,Bárbara Labres,38,Menina Debochada (Remix Pisadinha),142500,spotify:track:7nOasAgAN8y6bFpF5G3AuB,0.826,0.926,2,-4.754,1,0.072,0.15,0.00175,0.0347,0.956,159.972,audio_features,7nOasAgAN8y6bFpF5G3AuB,spotify:track:7nOasAgAN8y6bFpF5G3AuB,https://api.spotify.com/v1/tracks/7nOasAgAN8y6bFpF5G3AuB,https://api.spotify.com/v1/audio-analysis/7nOasAgAN8y6bFpF5G3AuB,142500,4,5216,Menina Debochada (Remix Pisadinha),Bárbara Labres & Dan Ventura,24426687,168400,-650,ehMJSuJTCnk,7nOasAgAN8y6bFpF5G3AuB,7034616568740546562,,,203VlakTNMPk
