track_name,track_pop,artist,artist_pop,album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,artist_name,total_likes_count,number_of_videos,chroma_stft,rmse,spec_cent,spec_bw,rolloff,zcr,mfcc
Love You So,0,The King Khan & BBQ Show,37,The King Khan & BBQ Show,0.389,0.896,5.0,-2.622,1.0,0.0599,0.79,0.00436,0.501,0.653,115.143,4msYRkezQgynuZNubvVbHk,225240.0,4.0,The King Khan & BBQ Show,4187998484,33542864,0.3900246322154999,0.3260107934474945,1795.164660250909,2164.226936962605,3672.8194576298856,0.0695218774187306,2.650418758392334
Spongebob Tomfoolery - Dante9k Remix,33,David Snell,12,Spongebob Tomfoolery (Dante9k Remix),0.831,0.445,0.0,-14.492,1.0,0.193,0.0257,0.908,0.113,0.508,125.015,5RUBtOzrUcM0tIRozgRtzA,151680.0,4.0,David Snell,1590913470,6200000,0.2932809293270111,0.0571676269173622,1877.152916007926,1771.1224763016426,3266.2469161184213,0.1076535440450851,-12.507166862487791
SugarCrash!,74,ElyOtto,53,SugarCrash!,0.748,0.734,0.0,-6.499,1.0,0.124,0.524,1.15e-05,0.0975,0.368,97.753,2ePtv8MlBO9nuuXABqAfEX,80081.0,4.0,ElyOtto,1548567686,4700000,0.2937697172164917,0.1320784389972686,1944.135169135116,1843.2844339753472,3800.9353495972814,0.0971483165634675,-11.325931549072266
Home,75,Edith Whiskers,59,Home,0.725,0.199,2.0,-12.478,1.0,0.0357,0.982,0.00395,0.1,0.264,120.031,2qPSa6HXjzwa9sLhNGpA1T,195359.0,4.0,Tom Rosenthal,1536455117,1700000,0.2754636108875274,0.099697433412075,864.4902917693589,998.2404189492488,1515.407503204818,0.0443277742840557,-7.585949420928955
Blue Blood,7,Orchestra Heinz Kiessling,13,High Society,0.678,0.508,0.0,-13.403,1.0,0.0319,0.748,0.866,0.0787,0.846,145.346,2VXzu84b4TgywH3Mc23PfL,173835.0,4.0,Heinz Kiessling,1392234379,1100000,0.3552466332912445,0.0929260402917862,1683.105945583418,2114.052010011912,3641.25298184138,0.0614939592202012,-1.1113461256027222
Steven Universe,61,L.Dre,50,Steven Universe,0.676,0.0674,7.0,-13.899,1.0,0.0703,0.841,0.942,0.121,0.214,77.037,7zkA4TSmYO1Bko2PnFn0YB,134026.0,4.0,L.Dre,1385596320,9600000,0.3118524551391601,0.0980061218142509,688.3721008573782,832.9135674294199,1046.8603364454334,0.0416599899622678,-13.424904823303224
被遗忘的故事,42,Nene郑乃馨,41,与世界温柔相处,0.583,0.721,7.0,-4.278,1.0,0.0682,0.275,0.0,0.0787,0.205,172.07,0GsNpcNsQ0HOR7gQN9aKaO,184694.0,4.0,yugure / 夕依,1333192432,11242864,0.3790588080883026,0.1011290326714515,1646.8788263201202,2150.493104628029,3773.2771835090944,0.045837591307082,-2.3373589515686035
Blade Runner 2049,55,Synthwave Goose,35,Blade Runner 2049,0.573,0.458,0.0,-16.739,0.0,0.0369,0.896,0.902,0.125,0.0364,116.029,3Bj2mrlp3tALHO5U3mK8zM,228020.0,4.0,Synthwave Goose,1291893490,1300000,0.3258017003536224,0.2211609184741974,702.376711619469,848.7504587540351,1167.651272705834,0.0358478557952786,-6.641073703765869
Beggin',16,Måneskin,78,O Melhor do Pop Internacional,0.714,0.8,11.0,-4.809,0.0,0.0504,0.129,0.0,0.359,0.589,134.0,4HY4ARVkWGBGFv6bmwW7pt,211560.0,4.0,Måneskin,1184408788,8000000,0.3096759021282196,0.2095101177692413,2304.151006037174,2276.743936680384,4595.022214529315,0.0931105480843653,-7.253200531005859
Pieces,50,Danilo Stankovic,42,Pieces,0.391,0.191,2.0,-19.27,1.0,0.0382,0.995,0.913,0.117,0.352,81.662,0MCdZnS4srzHUHWcV7pHNK,85911.0,4.0,Danilo Stankovic Music,1135958799,4500000,0.2211608737707138,0.1305804848670959,696.7843062318775,581.341924305903,1101.5933388157894,0.050742323553599,-9.660345077514648
