track_name,track_pop,artist,artist_pop,album,length,track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,rank,song_name,artist_name,total_likes_count,number_of_videos,number_of_videos_last_14days,youtube_platform_id,spotify_platform_id,tiktok_platform_id,itunes_platform_id,itunes_album_platform_id,song_guid
Laxed – Siren Beat,54,Jawsh 685,59,Laxed (Siren Beat),201990,spotify:track:3BJiF37kmX4HCfYSO7qBnQ,0.736,0.62,0.0,-8.481,0.0,0.11,0.0577,0.692,0.318,0.959,150.026,audio_features,3BJiF37kmX4HCfYSO7qBnQ,spotify:track:3BJiF37kmX4HCfYSO7qBnQ,https://api.spotify.com/v1/tracks/3BJiF37kmX4HCfYSO7qBnQ,https://api.spotify.com/v1/audio-analysis/3BJiF37kmX4HCfYSO7qBnQ,201990.0,4.0,1,Jawsh 685 - Laxed (Siren Beat) (Official Video),Jawsh 685,885808966,34700000,-57142,PFxsG8vLm78,3BJiF37kmX4HCfYSO7qBnQ,6804093117843770118,1511241211.0,1511241207.0,m6zicCA27ueW
Love You So,0,The King Khan & BBQ Show,37,The King Khan & BBQ Show,225240,spotify:track:4msYRkezQgynuZNubvVbHk,0.389,0.896,5.0,-2.622,1.0,0.0599,0.79,0.00436,0.501,0.653,115.143,audio_features,4msYRkezQgynuZNubvVbHk,spotify:track:4msYRkezQgynuZNubvVbHk,https://api.spotify.com/v1/tracks/4msYRkezQgynuZNubvVbHk,https://api.spotify.com/v1/audio-analysis/4msYRkezQgynuZNubvVbHk,225240.0,4.0,2,The King Khan & BBQ Show – Love You So (Official Video),The King Khan & BBQ Show,4187998484,33542864,-242852,QuwNfsh1KGk,4msYRkezQgynuZNubvVbHk,6728562975734515713,297284611.0,297284587.0,I8OL24FBUcC3
Monkeys Spinning Monkeys,0,Kevin MacLeod,51,Music to Delight,125074,spotify:track:1VsTvfmPwrJxIP5idldxX7,0.929,0.203,7.0,-18.004,1.0,0.146,0.901,0.803,0.11,0.91,144.053,audio_features,1VsTvfmPwrJxIP5idldxX7,spotify:track:1VsTvfmPwrJxIP5idldxX7,https://api.spotify.com/v1/tracks/1VsTvfmPwrJxIP5idldxX7,https://api.spotify.com/v1/audio-analysis/1VsTvfmPwrJxIP5idldxX7,125074.0,4.0,3,Monkeys Spinning Monkeys,Good Morning Kevin & Kevin MacLeod,4192996304,30200000,0,NPdgPZ0u3zQ,1VsTvfmPwrJxIP5idldxX7,6746993352891189249,1581990212.0,1581990211.0,3dkC19keF0WN
Banana (feat. Shaggy) - DJ FLe - Minisiren Remix,65,Conkarah,49,Banana (feat. Shaggy) [DJ FLe - Minisiren Remix],210328,spotify:track:0dZpw3h6KZhcHec61qwevZ,0.824,0.854,8.0,-5.312,1.0,0.177,0.016,4.95e-05,0.117,0.896,95.114,audio_features,0dZpw3h6KZhcHec61qwevZ,spotify:track:0dZpw3h6KZhcHec61qwevZ,https://api.spotify.com/v1/tracks/0dZpw3h6KZhcHec61qwevZ,https://api.spotify.com/v1/audio-analysis/0dZpw3h6KZhcHec61qwevZ,210329.0,4.0,4,Banana (feat. Shaggy) [DJ FLe - Minisiren Remix] Official Music Video | Conkarah,DiRealShaggy & Conkarah,893439815,22700000,-42856,sy9l7y7npGs,0dZpw3h6KZhcHec61qwevZ,6788784989656926981,1513485569.0,1513485568.0,w6ifpRlUCobZ
Oh No,53,Kreepa,34,Cold As Ice,166504,spotify:track:4qBMiRsJjtm1WR4KyAQqrX,0.541,0.527,11.0,-7.438,0.0,0.147,0.00279,0.000509,0.286,0.429,176.123,audio_features,4qBMiRsJjtm1WR4KyAQqrX,spotify:track:4qBMiRsJjtm1WR4KyAQqrX,https://api.spotify.com/v1/tracks/4qBMiRsJjtm1WR4KyAQqrX,https://api.spotify.com/v1/audio-analysis/4qBMiRsJjtm1WR4KyAQqrX,166504.0,4.0,5,Kreepa Oh No (Official Music Video) prod by Simes Carter,Kreepa,2456202034,18800000,0,1nkYkB-nXR0,4qBMiRsJjtm1WR4KyAQqrX,6586947002464996102,1491237429.0,1491237175.0,DNGf2Z35bvgZ
Дикая львица,50,ALEX&RUS,42,Дикая львица,164769,spotify:track:41btOpCqdHf5lBd4KAOcfB,0.514,0.843,9.0,-4.98,0.0,0.303,0.363,0.0038,0.13,0.693,194.39,audio_features,41btOpCqdHf5lBd4KAOcfB,spotify:track:41btOpCqdHf5lBd4KAOcfB,https://api.spotify.com/v1/tracks/41btOpCqdHf5lBd4KAOcfB,https://api.spotify.com/v1/audio-analysis/41btOpCqdHf5lBd4KAOcfB,164769.0,3.0,7,ALEX & RUS – Дикая львица (Official Video 2019),ALEX&RUS,354928101,18128568,271426,OpDRP1Z76FI,41btOpCqdHf5lBd4KAOcfB,6707774381675808769,1470389541.0,1470389540.0,jxhGJSi5mgda
Lottery (Renegade),41,K CAMP,58,Lottery (Renegade),170946,spotify:track:3u7YzRbwhYn0V2XTeHxgBR,0.915,0.556,1.0,-8.601,1.0,0.216,0.0145,0.000179,0.0733,0.67,148.964,audio_features,3u7YzRbwhYn0V2XTeHxgBR,spotify:track:3u7YzRbwhYn0V2XTeHxgBR,https://api.spotify.com/v1/tracks/3u7YzRbwhYn0V2XTeHxgBR,https://api.spotify.com/v1/audio-analysis/3u7YzRbwhYn0V2XTeHxgBR,170947.0,4.0,8,K Camp - Lottery (Renegade) (Official Video),K Camp,682658373,14842864,-157136,dVfzYoriPgc,3u7YzRbwhYn0V2XTeHxgBR,6744446812653947654,1508622078.0,1508621264.0,saROg7KLg5SP
If We Ever Broke Up,40,Mae Stephens,65,If We Ever Broke Up (Sped Up),142758,spotify:track:1zzj42DqJEowqU60ZkMbXw,0.898,0.746,7.0,-4.0,1.0,0.0433,0.606,5.97e-06,0.0917,0.951,115.943,audio_features,1zzj42DqJEowqU60ZkMbXw,spotify:track:1zzj42DqJEowqU60ZkMbXw,https://api.spotify.com/v1/tracks/1zzj42DqJEowqU60ZkMbXw,https://api.spotify.com/v1/audio-analysis/1zzj42DqJEowqU60ZkMbXw,142759.0,4.0,10,Mae Stephens - If We Ever Broke Up (Official Video),Mae Stephens,284473144,14142864,1242864,TbGT3d0pHgo,1zzj42DqJEowqU60ZkMbXw,7183303677226044165,1669378800.0,1669378794.0,2qu22jR6uDeI
Adderall (Corvette Corvette) - Remix,55,Popp Hunna,41,Adderall (Corvette Corvette) [Remix],176382,spotify:track:2Y3USTCETS4xbjJOzT1Icm,0.921,0.718,4.0,-3.545,0.0,0.299,0.217,0.0,0.189,0.677,141.06,audio_features,2Y3USTCETS4xbjJOzT1Icm,spotify:track:2Y3USTCETS4xbjJOzT1Icm,https://api.spotify.com/v1/tracks/2Y3USTCETS4xbjJOzT1Icm,https://api.spotify.com/v1/audio-analysis/2Y3USTCETS4xbjJOzT1Icm,176383.0,4.0,11,"Popp Hunna Feat. Lil Uzi Vert ""Adderall (Corvette Corvette) Remix"" [Official Video]",Popphunna,503731341,13200000,-28570,D5FdrOx2aZk,2Y3USTCETS4xbjJOzT1Icm,6884331673173969670,1547734219.0,1547733934.0,eO9xLBA2uGRb
たぶん,72,YOASOBI,76,THE BOOK,256773,spotify:track:398dL22bDbKbAmiOnPaq7o,0.748,0.661,5.0,-6.702,1.0,0.0334,0.157,0.00102,0.101,0.743,90.003,audio_features,398dL22bDbKbAmiOnPaq7o,spotify:track:398dL22bDbKbAmiOnPaq7o,https://api.spotify.com/v1/tracks/398dL22bDbKbAmiOnPaq7o,https://api.spotify.com/v1/audio-analysis/398dL22bDbKbAmiOnPaq7o,256773.0,4.0,12,YOASOBI「たぶん」Official Music  Video,YOASOBI,362184691,12500000,0,8iuLXODzL04,398dL22bDbKbAmiOnPaq7o,6844194559707088898,1520198760.0,1520198755.0,chTXXTloHDud
