track_name,track_pop,artist,artist_pop,album,length,track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,rank,song_name,artist_name,total_likes_count,number_of_videos,number_of_videos_last_14days,youtube_platform_id,spotify_platform_id,tiktok_platform_id,itunes_platform_id,itunes_album_platform_id,song_guid
DJ Tukaran Semvak,55,DJ Maya FYZ,37,DJ Tukaran Semvak,181489,spotify:track:55foBE6tmUFTyQF8oDEe7F,0.855,0.905,11,-5.335,0,0.0673,0.00292,0.000208,0.213,0.802,138.652,audio_features,55foBE6tmUFTyQF8oDEe7F,spotify:track:55foBE6tmUFTyQF8oDEe7F,https://api.spotify.com/v1/tracks/55foBE6tmUFTyQF8oDEe7F,https://api.spotify.com/v1/audio-analysis/55foBE6tmUFTyQF8oDEe7F,181489,4,2601,DJ Tukaran Semvak,DJ Maya FYZ,66991517,352700,-1400,Riz0DE5Ixn8,55foBE6tmUFTyQF8oDEe7F,7060071971085617154,,,0yc6EuMEU6Mu
Hayya Hayya (Better Together) - Music from the FIFA World Cup Qatar 2022 Official Soundtrack,66,Trinidad Cardona,58,Hayya Hayya (Better Together) [Music from FIFA World Cup Qatar 2022 Soundtrack],206069,spotify:track:7vAJiDFrFtMYVOrZbOw7jj,0.733,0.829,2,-3.302,1,0.0375,0.401,0.0,0.403,0.623,128.938,audio_features,7vAJiDFrFtMYVOrZbOw7jj,spotify:track:7vAJiDFrFtMYVOrZbOw7jj,https://api.spotify.com/v1/tracks/7vAJiDFrFtMYVOrZbOw7jj,https://api.spotify.com/v1/audio-analysis/7vAJiDFrFtMYVOrZbOw7jj,206070,4,2602,Hayya Hayya (Better Together) | FIFA World Cup 2022™ Official Soundtrack,Trinidad & davido,120321992,352600,-1120,vyDjFVZgJoo,7vAJiDFrFtMYVOrZbOw7jj,7081681956877912065,1616734971,1616734969,CtvevZtXTNPu
Nandyan Agad Ako,1,Ex Battalion,57,6 Years,240178,spotify:track:6BZLjTOKBPqhq4xpOLkjrp,0.799,0.529,9,-9.17,1,0.0615,0.661,0.0,0.0856,0.601,128.05,audio_features,6BZLjTOKBPqhq4xpOLkjrp,spotify:track:6BZLjTOKBPqhq4xpOLkjrp,https://api.spotify.com/v1/tracks/6BZLjTOKBPqhq4xpOLkjrp,https://api.spotify.com/v1/audio-analysis/6BZLjTOKBPqhq4xpOLkjrp,240179,4,2603,Nandyan Agad Ako Lyrics | Flow G,Ex Battalion & Flow G,11448329,352400,0,-TeWCtWW3oU,6BZLjTOKBPqhq4xpOLkjrp,6709401064593950722,,,yJbeoLvi9FF6
Ways,38,Imad,43,Ways,162052,spotify:track:6nKitX96D79SaXi8Nj1xv6,0.712,0.743,10,-9.117,1,0.0387,0.232,6.81e-05,0.148,0.143,122.007,audio_features,6nKitX96D79SaXi8Nj1xv6,spotify:track:6nKitX96D79SaXi8Nj1xv6,https://api.spotify.com/v1/tracks/6nKitX96D79SaXi8Nj1xv6,https://api.spotify.com/v1/audio-analysis/6nKitX96D79SaXi8Nj1xv6,162052,4,2605,original sound - Isma_wati,Isma_wati,2139189,352200,200,,6nKitX96D79SaXi8Nj1xv6,6858067959664036610,,,WwJptGLNFDts
I'm Just a Cat,32,Simon and the Astronauts,12,Simon and the Astronauts,175666,spotify:track:7FGrTtLg76DfeJEbnc0KkJ,0.721,0.375,0,-7.857,1,0.0366,0.71,0.0,0.0985,0.504,119.989,audio_features,7FGrTtLg76DfeJEbnc0KkJ,spotify:track:7FGrTtLg76DfeJEbnc0KkJ,https://api.spotify.com/v1/tracks/7FGrTtLg76DfeJEbnc0KkJ,https://api.spotify.com/v1/audio-analysis/7FGrTtLg76DfeJEbnc0KkJ,175667,4,2607,I'm Just a Cat,Simon and the Astronauts,67306061,351900,-120,VlNKRLi8q_U,7FGrTtLg76DfeJEbnc0KkJ,6684779132540160002,1604895315,1604894720,JYWdxCTAdqVw
Fight Back,76,NEFFEX,70,Fight Back: The Collection,200571,spotify:track:6KigD0mlF4VGDYiSEzAyYw,0.716,0.946,1,-3.412,1,0.261,0.094,6.63e-05,0.0825,0.587,139.943,audio_features,6KigD0mlF4VGDYiSEzAyYw,spotify:track:6KigD0mlF4VGDYiSEzAyYw,https://api.spotify.com/v1/tracks/6KigD0mlF4VGDYiSEzAyYw,https://api.spotify.com/v1/audio-analysis/6KigD0mlF4VGDYiSEzAyYw,200571,4,2608,NEFFEX - Fight Back (Lyrics),NEFFEX,22081807,351702,-1642,2aMTP6Sxywk,6KigD0mlF4VGDYiSEzAyYw,6780700430130219010,1298643932,1298643678,3BEOH2p2zTCy
"La Pared 720 (feat. Justin Quiles, Brray)",55,Lenny Tavárez,75,"La Pared 720 (feat. Justin Quiles, Brray)",276104,spotify:track:1Pf1qN0amPFq5CrZlB60bl,0.698,0.845,7,-4.705,1,0.12,0.176,0.0,0.239,0.749,171.938,audio_features,1Pf1qN0amPFq5CrZlB60bl,spotify:track:1Pf1qN0amPFq5CrZlB60bl,https://api.spotify.com/v1/tracks/1Pf1qN0amPFq5CrZlB60bl,https://api.spotify.com/v1/audio-analysis/1Pf1qN0amPFq5CrZlB60bl,276105,4,2609,"Lenny Tavárez, Justin Quiles, Randy, De La Ghetto, Brray - La Pared 720 (Official Video)",LENNY TAVAREZ & Brray & JQuiles & De La Ghetto,111574777,351700,-1400,4ShX_wsmI30,1Pf1qN0amPFq5CrZlB60bl,7064009567205935878,1611376473,1611375786,pAWFflU3sphJ
Moonlight,89,Kali Uchis,83,Moonlight,187557,spotify:track:2i2gDpKKWjvnRTOZRhaPh2,0.639,0.723,7,-6.462,0,0.0532,0.511,0.0,0.167,0.878,136.872,audio_features,2i2gDpKKWjvnRTOZRhaPh2,spotify:track:2i2gDpKKWjvnRTOZRhaPh2,https://api.spotify.com/v1/tracks/2i2gDpKKWjvnRTOZRhaPh2,https://api.spotify.com/v1/audio-analysis/2i2gDpKKWjvnRTOZRhaPh2,187558,4,2610,Kali Uchis - Moonlight (Official Music Video),Kali Uchis,181284531,351600,8300,zBukbgTN0cE,2i2gDpKKWjvnRTOZRhaPh2,7167977813981530113,1665312291,1665311474,1AaLD66FRnTa
Pure Imagination,58,Kathleen,40,Pure Imagination,155856,spotify:track:63VzPkoz5BzivuDW7kK5fq,0.65,0.54,8,-7.793,0,0.0382,0.282,0.00702,0.0866,0.235,145.996,audio_features,63VzPkoz5BzivuDW7kK5fq,spotify:track:63VzPkoz5BzivuDW7kK5fq,https://api.spotify.com/v1/tracks/63VzPkoz5BzivuDW7kK5fq,https://api.spotify.com/v1/audio-analysis/63VzPkoz5BzivuDW7kK5fq,155857,4,2611,Kathleen - Pure Imagination (Official Visualizer),Kathleen,86445836,351400,283,ZpWQfGuLejo,63VzPkoz5BzivuDW7kK5fq,6794711298945845250,1498501338,1498501337,Ui84DSoagjIq
Send It (feat. Rich Homie Quan),55,Austin Mahone,55,Send It (feat. Rich Homie Quan),181003,spotify:track:1dytORtqcfaRkTqPyH2iQy,0.737,0.585,5,-6.252,1,0.0975,0.186,0.0,0.115,0.693,147.064,audio_features,1dytORtqcfaRkTqPyH2iQy,spotify:track:1dytORtqcfaRkTqPyH2iQy,https://api.spotify.com/v1/tracks/1dytORtqcfaRkTqPyH2iQy,https://api.spotify.com/v1/audio-analysis/1dytORtqcfaRkTqPyH2iQy,181003,4,2612,Austin Mahone - Send It ft. Rich Homie Quan (Lyric Video),richhomiequanofficial & Austin Mahone,24882721,351300,2242,EaJV2irv7MU,1dytORtqcfaRkTqPyH2iQy,6561230375618611969,1142623772,1142623607,8oHbZOEyBwqD
