,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,viral
0,0.389,0.896,5.0,-2.622,1.0,0.0599,0.79,0.00436,0.501,0.653,115.143,4msYRkezQgynuZNubvVbHk,263235.918,4.0,1
1,0.831,0.445,0.0,-14.492,1.0,0.193,0.0257,0.908,0.113,0.508,125.015,5RUBtOzrUcM0tIRozgRtzA,155167.347,4.0,1
2,0.748,0.734,0.0,-6.499,1.0,0.124,0.524,1.15e-05,0.0975,0.368,97.753,2ePtv8MlBO9nuuXABqAfEX,80352.653,4.0,1
3,0.725,0.199,2.0,-12.478,1.0,0.0357,0.982,0.00395,0.1,0.264,120.031,2qPSa6HXjzwa9sLhNGpA1T,212349.388,4.0,1
4,0.678,0.508,0.0,-13.403,1.0,0.0319,0.748,0.866,0.0787,0.846,145.346,2VXzu84b4TgywH3Mc23PfL,173949.388,4.0,1
5,0.676,0.0674,7.0,-13.899,1.0,0.0703,0.841,0.942,0.121,0.214,77.037,7zkA4TSmYO1Bko2PnFn0YB,173061.22400000002,4.0,1
6,0.583,0.721,7.0,-4.278,1.0,0.0682,0.275,0.0,0.0787,0.205,172.07,0GsNpcNsQ0HOR7gQN9aKaO,184946.93899999998,4.0,1
7,0.573,0.458,0.0,-16.739,0.0,0.0369,0.896,0.902,0.125,0.0364,116.029,3Bj2mrlp3tALHO5U3mK8zM,227213.06100000002,4.0,1
8,0.714,0.8,11.0,-4.809,0.0,0.0504,0.129,0.0,0.359,0.589,134.0,4HY4ARVkWGBGFv6bmwW7pt,209737.143,4.0,1
9,0.391,0.191,2.0,-19.27,1.0,0.0382,0.995,0.913,0.117,0.352,81.662,0MCdZnS4srzHUHWcV7pHNK,85551.01999999999,4.0,1
10,0.831,0.554,1.0,-9.998,0.0,0.218,0.161,6.12e-05,0.152,0.396,140.026,7hU3IHwjX150XLoTVmjD0q,168359.184,4.0,1
11,0.504,0.788,3.0,-4.113,0.0,0.215,0.0134,0.0,0.363,0.228,170.039,6rfRwqIMFFCDpuvYGvgtpD,187350.204,4.0,1
12,0.703,0.0828,7.0,-14.178,1.0,0.139,0.825,1.24e-05,0.13,0.57,125.879,4eOymg22XI5PrPr7BkPQiW,187689.796,4.0,1
13,0.865,0.603,1.0,-6.058,1.0,0.075,0.315,7.17e-05,0.428,0.828,100.006,4suCwJOOBSCCyaFkcqmUb7,106631.837,4.0,1
14,0.772,0.788,9.0,-5.414,0.0,0.0619,0.0027,0.000583,0.353,0.574,127.91,1sUdq3kWa9dJXHu3eYOUll,126014.694,4.0,1
15,0.849,0.613,2.0,-4.944,1.0,0.0407,0.288,0.0,0.103,0.79,119.97,7Jnw1thdO7A3XgaIrjj0PN,214151.837,4.0,1
16,0.715,0.563,10.0,-4.297,1.0,0.0697,0.325,0.00153,0.0937,0.465,89.964,26566DizCMEaVKT1CQEoAY,129906.939,4.0,1
17,0.563,0.813,1.0,-7.554,0.0,0.141,0.0788,1.28e-06,0.0904,0.491,125.288,3ATTQyU6j0IA7piLyjV7cA,192313.469,4.0,1
18,0.912,0.655,8.0,-6.029,0.0,0.162,0.315,3.39e-05,0.0894,0.793,91.942,0FYc9DIr89rbzt2WJMvyou,138631.837,4.0,1
19,0.858,0.68,0.0,-7.588,1.0,0.0408,0.883,0.864,0.0648,0.857,140.039,5WIHTBujvgqKbbOp1mWQiz,173505.30599999998,4.0,1
20,0.918,0.434,9.0,-9.541,1.0,0.173,0.569,3.14e-06,0.123,0.75,109.997,6NWdgyVsjp2bJ11PToXCr1,208666.122,4.0,1
21,0.912,0.54,7.0,-8.038,1.0,0.305,0.16,0.0,0.421,0.619,128.068,1p2VYcXdvno7iVQOOmYkEs,159216.32700000002,4.0,1
22,0.498,0.235,1.0,-16.541,0.0,0.188,0.72,0.0,0.144,0.0895,118.916,4DrB86dzIS8enmtriiA28d,179330.612,4.0,1
23,0.601,0.712,1.0,-9.433,1.0,0.0436,0.0848,0.0,0.461,0.389,114.97,7v3rmoy5jcn4h5UqwQyCM3,183040.0,4.0,1
24,0.766,0.74,1.0,-10.363,1.0,0.0807,0.0193,0.0784,0.229,0.183,118.008,0Fs9cdPDhptWEDJmiCbkEW,297221.224,4.0,1
25,0.671,0.673,11.0,-6.941,0.0,0.0444,0.148,5.29e-05,0.304,0.494,121.963,1SOClUWhOi8vHZYMz3GluK,237975.51,4.0,1
26,0.705,0.373,7.0,-9.066,1.0,0.0384,0.723,0.81,0.289,0.551,120.046,2mlGPkAx4kwF8Df0GlScsC,203755.10199999998,4.0,1
27,0.762,0.433,5.0,-8.937,1.0,0.187,0.143,0.0,0.118,0.394,122.074,4lsHZ92XCFOQfzJFBTluk8,220473.46899999998,4.0,1
28,0.707,0.681,0.0,-4.325,1.0,0.0668,0.0632,5.15e-06,0.0322,0.646,117.999,0yLdNVWF3Srea0uzk55zFn,197955.918,4.0,1
